id,title,时效性,效力位阶,制定机关,发文字号,公布日期,实施日期,原文链接,city_name
35,南宁市人民政府办公厅关于印发2012年南宁市国家电子商务示范城市创建工作目标任务的通知,废止或失效,地方工作文件,南宁市人民政府,南府办〔2012〕13号,2012.01.21,2012.01.21,https://www.pkulaw.com/lar/2e9d6c27942a7b27c6c5f221cd22c157bdfb.html,南宁市
36,中共晋城市委、晋城市人民政府关于深入贯彻党的十七届六中全会精神加快建设文化强市的实施意见,现行有效,地方工作文件,晋城市人民政府,晋市发〔2012〕16号,2012.02.08,2012.02.08,https://www.pkulaw.com/lar/70a5821eb90290b865411099490943c0bdfb.html,晋城市
37,横县人民政府关于印发横县“十二五”人才发展规划的通知,现行有效,地方工作文件,横县人民政府,横政发[2012]8号,2012.02.29,2012.02.29,https://www.pkulaw.com/lar/0202c7b1b911966f7e0fe94b106dc34bbdfb.html,横县
38,柳州市人民政府办公室关于印发《柳州市卫生事业“十二·五”发展规划》的通知,现行有效,地方工作文件,柳州市人民政府,柳政办〔2012〕37号,2012.02.29,2012.02.29,https://www.pkulaw.com/lar/80985e11b7c807c4f5d556c66d2ee8e1bdfb.html,柳州市
39,天津市滨海新区人民政府关于印发滨海新区十二五时期综合配套改革试验规划的通知,现行有效,地方工作文件,天津市滨海新区人民政府,,2012.03.27,2012.03.27,https://www.pkulaw.com/lar/81ffb9c25a1ef5c7aad49f1a2e23c430bdfb.html,天津市
40,南平市人民政府办公室关于印发南平市公务员局主要职责内设机构和人员编制规定的通知,现行有效,地方工作文件,南平市人民政府,南政办〔2012〕72号,2012.04.18,2012.04.18,https://www.pkulaw.com/lar/9b63c1883b087b64a334f8fbbcb070abbdfb.html,南平市
41,萍乡市人民政府办公室转发市人力资源和社会保障局关于萍乡市人力资源和社会保障事业发展“十二五”规划的通知,现行有效,地方工作文件,萍乡市人民政府,萍府办发〔2012〕18号,2012.05.18,2012.05.18,https://www.pkulaw.com/lar/f0e9f9727a0afa24411f3115f6203f2dbdfb.html,萍乡市
42,惠州市人民政府办公室关于推进我市LED产业发展的实施意见,现行有效,地方工作文件,惠州市人民政府,惠府办〔2012〕20号,2012.05.22,2012.05.22,https://www.pkulaw.com/lar/f50f52e79c8c761de5ee2b9e544c852dbdfb.html,惠州市
43,吉安市人民政府办公室关于印发吉安市工业和信息化发展“十二五”规划的通知,现行有效,地方工作文件,吉安市人民政府,吉府办发〔2012〕12号,2012.05.23,2012.05.23,https://www.pkulaw.com/lar/4513c37d4d2fe9d879ad064247fa421bbdfb.html,吉安市
44,北海市人民政府办公室关于印发北海市“十二五”人才发展规划的通知,现行有效,地方工作文件,北海市人民政府,北政办[2012]203号,2012.06.07,2012.06.07,https://www.pkulaw.com/lar/ba383e7ade4338a26314b08b4da1eff3bdfb.html,北海市
45,长沙市科学技术局关于开展长沙市境外高层次人才问卷调查工作的通知,现行有效,地方工作文件,长沙市科学技术局,,2012.07.03,2012.07.03,https://www.pkulaw.com/lar/90388ae5b68dc2bda1c3d38e78e07420bdfb.html,长沙市
46,唐山市曹妃甸新区管理委员会关于招聘医院、学校工作人员的公告,现行有效,地方工作文件,唐山市曹妃甸新区管理委员会,,2012.07.04,2012.07.04,https://www.pkulaw.com/lar/ad46f353a01821193aa832272ff8b99ebdfb.html,唐山市
47,宁德市人民政府关于贯彻落实国家知识产权战略纲要的实施意见,现行有效,地方工作文件,宁德市人民政府,宁政〔2012〕22号,2012.07.11,2012.07.11,https://www.pkulaw.com/lar/158258e1f8124d2fa232ffba586cc30fbdfb.html,宁德市
48,桂林市人民政府关于印发桂林市加快发展资源节约型环境友好型产业工作方案的通知,现行有效,地方工作文件,桂林市人民政府,市政[2012]103号,2012.09.14,2012.09.14,https://www.pkulaw.com/lar/3480c25333182b733c4304ce55897d6fbdfb.html,桂林市
49,南通市人民政府办公室关于印发《南通市“十二五”文化发展规划》的通知,现行有效,地方工作文件,南通市人民政府,通政办发〔2012〕172号,2012.10.08,2012.10.08,https://www.pkulaw.com/lar/20d3b15da9c0305027c094ba6dc4470bbdfb.html,南通市
50,合肥市人民政府关于印发合肥市国民经济和社会发展第十二个五年规划纲要(修订)的通知,现行有效,地方工作文件,合肥市人民政府,合政〔2012〕229号,2012.11.15,2012.11.15,https://www.pkulaw.com/lar/34fc5dc387d6f14554d5a99e4969a921bdfb.html,合肥市
51,衡水市人民政府关于印发衡水市金融产业发展(2012―2015年)实施意见的通知,废止或失效,地方工作文件,衡水市人民政府,衡政〔2012〕83号,2012.11.30,2012.11.30,https://www.pkulaw.com/lar/ad869263c71ce48aa5d28ffdc94a1716bdfb.html,衡水市
52,苏州市人民政府关于印发苏州市电子商务“十二五”发展规划的通知,现行有效,地方工作文件,苏州市人民政府,苏府〔2012〕267号,2012.12.18,2012.12.18,https://www.pkulaw.com/lar/d424e293d1bd38cacb991062ada891fcbdfb.html,苏州市
53,扬州市人民政府关于印发《扬州市人力资源和社会保障事业发展十二五专项规划》的通知,现行有效,地方工作文件,扬州市人民政府,扬府发〔2013〕7号,2013.01.12,2013.01.12,https://www.pkulaw.com/lar/e454de5c844e225f649dd9168bf1ed9dbdfb.html,扬州市
54,黔东南州人民政府办公室关于“第一届中国贵州人才博览会”黔东南州参会工作实施方案的通知,现行有效,地方工作文件,黔东南苗族侗族自治州人民政府,,2013.03.02,2013.03.02,https://www.pkulaw.com/lar/b7b7e91ccaee13155d1ec1018b585569bdfb.html,黔东南州
55,桐乡市人民政府关于切实做好2013年度人力资源和社会保障工作的通知,现行有效,地方工作文件,桐乡市人民政府,桐政发〔2013〕31号,2013.03.26,2013.03.26,https://www.pkulaw.com/lar/3ae9d44decc8ad608565fcb1b6b424a0bdfb.html,桐乡市
56,甘孜藏族自治州人民政府印发甘孜州加快发展中藏医药产业实施方案的通知,现行有效,地方工作文件,甘孜藏族自治州人民政府,甘府发〔2013〕15号,2013.04.19,2013.04.19,https://www.pkulaw.com/lar/a2686517f9095f9a736cb49b3cf21f82bdfb.html,甘孜藏族自治州
57,兰州市卫生局关于印发《进一步加强医院管理提高服务质量确保医疗安全提升年活动实施方案》的通知,现行有效,地方工作文件,兰州市卫生局,兰卫医发〔2013〕373号,2013.07.30,2013.07.30,https://www.pkulaw.com/lar/065e0b5a047701f4cb87dd409a432f79bdfb.html,兰州市
58,石柱土家族自治县人民政府办公室关于印发石柱县深化医药卫生体制改革2013年工作安排的通知,现行有效,地方工作文件,石柱土家族自治县人民政府,,2013.08.23,2013.08.23,https://www.pkulaw.com/lar/cdfccd2f095195e04e91e3ee1a215092bdfb.html,石柱县
59,嘉善县人民政府办公室关于《上半年政府工作报告》人大审议意见的答复,现行有效,地方工作文件,嘉善县人民政府,,2013.11.27,2013.11.27,https://www.pkulaw.com/lar/b52fd31eeed53ee35e4b0ea6770c9ab1bdfb.html,嘉善县
