title,时效性,效力位阶,制定机关,发文字号,公布日期,实施日期,原文链接
济南市人民政府关于印发济南市“十二五”金融业发展规划的通知,现行有效,地方工作文件,济南市人民政府,济政发〔2011〕32号,2011.09.21,2011.09.21,https://www.pkulaw.com/lar/03cc548efdbee6179303636a07b5a22cbdfb.html
陕西省人民政府关于进一步鼓励软件产业和集成电路产业发展的实施意见,现行有效,地方工作文件,陕西省人民政府,陕政发〔2011〕61号,2011.10.23,2011.12.01,https://www.pkulaw.com/lar/ddffcea7af3edd17c5c3b7be8409b3f2bdfb.html
重庆市人民政府办公厅关于印发重庆市文化文物广播影视“十二五”发展规划的通知,现行有效,地方工作文件,重庆市人民政府,渝办发〔2011〕301号,2011.10.29,2011.10.29,https://www.pkulaw.com/lar/57637602b7a29e79c91838590bf94b47bdfb.html
宁波市人民政府关于印发宁波市“十二五”人才发展规划的通知,现行有效,地方工作文件,宁波市人民政府,甬政发〔2011〕115号,2011.11.01,2011.11.01,https://www.pkulaw.com/lar/17383cc0abdd028288c2ca6e5791a686bdfb.html
中共龙岩市委办公室、龙岩市人民政府办公室关于印发龙岩市中长期人才发展规划纲要(2010～2020年)任务分工方案的通知,现行有效,地方工作文件,中共龙岩市委;龙岩市人民政府,岩委办[2011]105号,2011.11.04,2011.11.04,https://www.pkulaw.com/lar/a7d38198022d48e90e2ac487da0a4864bdfb.html
绍兴市人民政府关于印发绍兴市区物流业发展规划(2011－2015年)的通知,现行有效,地方工作文件,绍兴市人民政府,绍政发〔2011〕76号,2011.11.15,2011.11.15,https://www.pkulaw.com/lar/6a869540811c395159e53067b5669b81bdfb.html
重庆市卫生局、重庆市发展和改革委员会、重庆市财政局关于印发《重庆市鼠疫防治“十二五”规划(2011―2015年)》的通知,现行有效,地方工作文件,重庆市卫生和计划生育委员会(原重庆市卫生局);重庆市发展和改革委员会;重庆市财政局,渝卫〔2011〕137号,2011.11.29,2011.11.29,https://www.pkulaw.com/lar/d53cff611bfbf76c211ac3a3ce36e458bdfb.html
宁夏回族自治区人民政府关于印发宁夏回族自治区人力资源和社会保障事业发展“十二五”规划的通知,现行有效,地方工作文件,宁夏回族自治区人民政府,宁政发〔2011〕154号,2011.12.01,2011.12.01,https://www.pkulaw.com/lar/ed6219ee14d74aaace267ee2622e4ac2bdfb.html
池州市人民政府关于印发池州市十二五工业和信息化发展规划纲要的通知,废止或失效,地方工作文件,池州市人民政府,池政[2011]96号,2011.12.08,2011.12.08,https://www.pkulaw.com/lar/b40b0a01919707282e3e3dd86596f518bdfb.html
上海市闵行区人民政府关于印发闵行区人力资源和社会保障“十二五”规划的通知,现行有效,地方工作文件,上海市闵行区人民政府,闵府发〔2011〕50号,2011.12.08,2011.12.08,https://www.pkulaw.com/lar/314e4d74b4a40322d9524f9fb7fe9c97bdfb.html
中共杭州市委办公厅、杭州市人民政府办公厅关于印发《杭州打造民营经济强市三年行动计划(2011—2013年)》的通知,现行有效,地方工作文件,杭州市人民政府;中共杭州市委,市委办发〔2011〕135号,2011.12.09,2011.12.09,https://www.pkulaw.com/lar/057b77b8440b822340d21779254fc16ebdfb.html
郴州市人民政府关于印发郴州市加快培育和发展战略性新兴产业“十二五”总体规划纲要及有关专项规划的通知,现行有效,地方工作文件,郴州市人民政府,郴政发〔2011〕20号,2011.12.15,2011.12.15,https://www.pkulaw.com/lar/47e850e0c80a43b99bdc42dd980777f8bdfb.html
随州市人民政府关于印发《随州市“十二五”文化体育新闻出版文物事业发展规划》的通知,现行有效,地方工作文件,随州市人民政府,,2011.12.21,2011.12.21,https://www.pkulaw.com/lar/f51b19e916e2dedec3bcf7002d32bca6bdfb.html
北京市经济和信息化委员会、北京市商务委员会关于印发《“十二五”北京汽车产业出口规划》的通知,废止或失效,地方工作文件,北京市经济和信息化委员会;北京市商务委员会,京经信委发〔2011〕148号,2011.12.23,2011.12.23,https://www.pkulaw.com/lar/cdd82f6c110a5c39ed01ae054f67fa90bdfb.html
贵州省人民政府办公厅关于印发贵州省LED产业发展规划(2011—2020年)的通知,现行有效,地方工作文件,贵州省人民政府,黔府办发〔2011〕132号,2011.12.31,2011.12.31,https://www.pkulaw.com/lar/ca19bda84f5c8b4217dbdac70bebbae0bdfb.html
杭州市公安局2011年度政府信息公开年度报告,现行有效,地方工作文件,杭州市公安局,,2011.12.31,2011.12.31,https://www.pkulaw.com/lar/6e78d10236be06520a630c95fc892026bdfb.html
四川省人民政府办公厅关于印发四川省版权战略(2011—2020年)的通知,现行有效,地方工作文件,四川省人民政府,川办函〔2011〕292号,2011.12.31,2011.12.31,https://www.pkulaw.com/lar/a79b56b0e51b6cdb34bd838f85d95ec8bdfb.html
中共上海市委组织部、上海市人力资源和社会保障局关于印发《上海市人才发展“十二五”规划》的通知,现行有效,地方工作文件,中共上海市委;上海市人力资源和社会保障局,沪人社力〔2011〕1101号,2011.12.31,2011.12.31,https://www.pkulaw.com/lar/56804c30e83ef6ab55ff06c23a6d52e7bdfb.html
安徽省交通运输厅关于印发安徽省交通运输“十二五”人才发展规划的通知,现行有效,地方工作文件,安徽省交通运输厅,,2011.12.31,2011.12.31,https://www.pkulaw.com/lar/d03d291980c507cd20b840842c186349bdfb.html
